,김유정,이상,이효석,현진건,채만식,이광수,김동인,나도향,심훈,최서해,강경애,계용묵,백신애,조명희,이무영
김유정,1.0000000000000002,0.1678865609773212,0.2118706170059943,0.25782601766225816,0.08983800896712842,0.1723754261165003,0.010332409197978504,0.033860880847063526,0.29133903210604145,-0.011208069230055481,0.12060823340499581,-0.04023995492689391,0.15614676625678348,0.2727995465118777,0.2566678891204698
이상,0.1678865609773212,0.9999999999999999,0.1721352819500776,0.06611089493412316,0.08352387433764344,0.17813116408594892,0.19708476557798907,0.49394845100874946,0.17628020827161972,0.24168928779382182,0.14994111568706867,0.17268814055185983,0.164229890003445,0.19138850707332647,0.13977589711368746
이효석,0.2118706170059943,0.1721352819500776,1.0,0.18503411971968758,-0.03851406067123925,0.3027100472874178,0.25798486627829853,0.08423535384887579,0.3599438391524639,0.1541492650390041,0.22928296353617458,0.1925469833203072,0.3390018079483137,0.07757077756458917,0.14786519594156083
현진건,0.25782601766225816,0.06611089493412316,0.18503411971968758,1.0000000000000002,0.12204075706175448,0.1992418886842913,0.330127157213097,0.4416446147750845,0.21648367359549026,0.14559105866674094,0.04095472834769826,0.22023436335298346,0.40942814969063446,0.10960498600470137,0.08961939890132495
채만식,0.08983800896712842,0.08352387433764344,-0.03851406067123925,0.12204075706175448,1.0000000000000004,0.3621161024926029,0.15457760726145753,0.11852983754899543,0.3277626285064959,-0.037747164011508905,0.2432699178123638,0.29175986190964964,0.07893214597897906,0.3907366640774689,0.25691523748226497
이광수,0.1723754261165003,0.17813116408594892,0.3027100472874178,0.1992418886842913,0.3621161024926029,1.0000000000000002,0.44548195116518585,0.22462613869418246,0.21494120731197433,-0.06738833092634042,0.22567898412661938,0.13747009382085837,0.10662994938115868,0.30190488959705164,0.19182867379654853
김동인,0.010332409197978504,0.19708476557798907,0.25798486627829853,0.330127157213097,0.15457760726145753,0.44548195116518585,0.9999999999999998,0.32997370764941386,-0.08614820448928207,0.3407874572651414,0.22465220706577474,0.18736165172784622,0.48916192765723404,0.3943399219637289,0.1211012938188321
나도향,0.033860880847063526,0.49394845100874946,0.08423535384887579,0.4416446147750845,0.11852983754899543,0.22462613869418246,0.32997370764941386,1.0000000000000002,0.0051124033590569185,0.2026442220178352,0.09464378739770686,0.3066407532289479,0.2548761324194773,0.233042632995829,0.22984003254653412
심훈,0.29133903210604145,0.17628020827161972,0.3599438391524639,0.21648367359549026,0.3277626285064959,0.21494120731197433,-0.08614820448928207,0.0051124033590569185,0.9999999999999999,0.1439695142580923,0.15611433464138372,0.25746759913400036,0.1846159803455899,0.013549236576508372,0.16900596118382985
최서해,-0.011208069230055481,0.24168928779382182,0.1541492650390041,0.14559105866674094,-0.037747164011508905,-0.06738833092634042,0.3407874572651414,0.2026442220178352,0.1439695142580923,1.0,0.46900157994152153,-0.01195836561273598,0.2948029650167436,0.19143031966200863,0.08500785706067016
강경애,0.12060823340499581,0.14994111568706867,0.22928296353617458,0.04095472834769826,0.2432699178123638,0.22567898412661938,0.22465220706577474,0.09464378739770686,0.15611433464138372,0.46900157994152153,0.9999999999999996,0.041781565318257795,0.3695595453833931,0.29007732115434975,0.15700405727152678
계용묵,-0.04023995492689391,0.17268814055185983,0.1925469833203072,0.22023436335298346,0.29175986190964964,0.13747009382085837,0.18736165172784622,0.3066407532289479,0.25746759913400036,-0.01195836561273598,0.041781565318257795,0.9999999999999998,0.14071066387521827,0.0994180978099591,0.17389368004362094
백신애,0.15614676625678348,0.164229890003445,0.3390018079483137,0.40942814969063446,0.07893214597897906,0.10662994938115868,0.48916192765723404,0.2548761324194773,0.1846159803455899,0.2948029650167436,0.3695595453833931,0.14071066387521827,1.0000000000000007,0.14408885099715732,0.14944789812686368
조명희,0.2727995465118777,0.19138850707332647,0.07757077756458917,0.10960498600470137,0.3907366640774689,0.30190488959705164,0.3943399219637289,0.233042632995829,0.013549236576508372,0.19143031966200863,0.29007732115434975,0.0994180978099591,0.14408885099715732,1.0000000000000002,0.18705258066266695
이무영,0.2566678891204698,0.13977589711368746,0.14786519594156083,0.08961939890132495,0.25691523748226497,0.19182867379654853,0.1211012938188321,0.22984003254653412,0.16900596118382985,0.08500785706067016,0.15700405727152678,0.17389368004362094,0.14944789812686368,0.18705258066266695,1.0000000000000002
