,김유정,이상,이효석,현진건,채만식,이광수,김동인,나도향,심훈,최서해,강경애,계용묵,백신애,조명희,이무영
김유정,0.9999999999999998,-0.12106456586033297,0.4157559243354639,-0.07898091738672916,-0.09379623803789716,0.32793780410497364,-0.4670335158423893,-0.40618404699265787,0.23390303077590244,-0.16355227123857,-0.07961496041077526,-0.33051163695439273,-0.3784689478465205,-0.16019900399910628,0.07871435204690228
이상,-0.12106456586033297,1.0,-0.07313060387372201,-0.4846140518904846,-0.29823441302085546,-0.06518248044804797,-0.009059945078602666,0.08578000038715793,-0.2597200999023157,-0.16440557816515786,0.19394480337432302,0.10190728732029887,0.06894754145362732,-0.19637221772759653,0.22690575440303556
이효석,0.4157559243354639,-0.07313060387372201,1.0,-0.10052484597910104,-0.5517657903679698,0.16146878292462924,-0.6182058579200759,-0.2881852420790996,0.5397469737765869,-0.2739490374723127,0.00796095262223824,0.10178177798726329,-0.22273716435504443,-0.05385110596590818,-0.26813351129105034
현진건,-0.07898091738672916,-0.4846140518904846,-0.10052484597910104,1.0000000000000002,-0.05200009892680562,-0.03996549073671057,0.09727798915317704,0.44928367331493985,0.019449929517766078,0.27186515519582233,-0.21317644941520966,-0.062094472784506326,-0.015444807407869217,-0.05557993608475654,-0.34765676714312393
채만식,-0.09379623803789716,-0.29823441302085546,-0.5517657903679698,-0.05200009892680562,0.9999999999999996,0.011476844430017657,0.2548654501504697,-0.2304768294302221,-0.22203315002066265,-0.22546283145018461,-0.3474570029390758,0.1137428383609507,-0.05055263848273402,0.35704046386683896,0.1419238385637963
이광수,0.32793780410497364,-0.06518248044804797,0.16146878292462924,-0.03996549073671057,0.011476844430017657,0.9999999999999999,0.127393316401578,0.11381014697825555,0.012411878731907662,-0.5075391807416221,-0.35823642993508814,-0.02497414179993752,-0.2883533846272877,-0.11167188243776804,-0.21768969800667676
김동인,-0.4670335158423893,-0.009059945078602666,-0.6182058579200759,0.09727798915317704,0.2548654501504697,0.127393316401578,0.9999999999999998,0.21133583130876563,-0.6486613096525912,0.2149608103959283,-0.012176560848686565,-0.20725794903127423,0.30514389859743374,-0.03332988021377204,0.26064830714443604
나도향,-0.40618404699265787,0.08578000038715793,-0.2881852420790996,0.44928367331493985,-0.2304768294302221,0.11381014697825555,0.21133583130876563,0.9999999999999999,-0.09823350349131249,-0.00883343561180448,-0.2845387549133923,0.38047046535658335,0.17456047594605706,-0.3901696954582814,-0.28612223959753563
심훈,0.23390303077590244,-0.2597200999023157,0.5397469737765869,0.019449929517766078,-0.22203315002066265,0.012411878731907662,-0.6486613096525912,-0.09823350349131249,0.9999999999999998,-0.17726054433292607,0.0679315325296514,0.05486883614176145,-0.23012196991171477,-0.15469365406127275,-0.48258809806971303
최서해,-0.16355227123857,-0.16440557816515786,-0.2739490374723127,0.27186515519582233,-0.22546283145018461,-0.5075391807416221,0.2149608103959283,-0.00883343561180448,-0.17726054433292607,1.0000000000000002,0.47062094323501813,-0.5396956411800955,0.18164571304905686,0.017872586891361196,0.02834002771588836
강경애,-0.07961496041077526,0.19394480337432302,0.00796095262223824,-0.21317644941520966,-0.3474570029390758,-0.35823642993508814,-0.012176560848686565,-0.2845387549133923,0.0679315325296514,0.47062094323501813,0.9999999999999999,-0.5699806999139532,0.09048330373015151,-0.06860954650174918,0.15893215530017693
계용묵,-0.33051163695439273,0.10190728732029887,0.10178177798726329,-0.062094472784506326,0.1137428383609507,-0.02497414179993752,-0.20725794903127423,0.38047046535658335,0.05486883614176145,-0.5396956411800955,-0.5699806999139532,1.0000000000000002,-0.10515945810217328,-0.10117157499986215,-0.051643785759947936
백신애,-0.3784689478465205,0.06894754145362732,-0.22273716435504443,-0.015444807407869217,-0.05055263848273402,-0.2883533846272877,0.30514389859743374,0.17456047594605706,-0.23012196991171477,0.18164571304905686,0.09048330373015151,-0.10515945810217328,1.0,0.07614012902229758,-0.14290450078781794
조명희,-0.16019900399910628,-0.19637221772759653,-0.05385110596590818,-0.05557993608475654,0.35704046386683896,-0.11167188243776804,-0.03332988021377204,-0.3901696954582814,-0.15469365406127275,0.017872586891361196,-0.06860954650174918,-0.10117157499986215,0.07614012902229758,1.0,-0.20682557742261312
이무영,0.07871435204690228,0.22690575440303556,-0.26813351129105034,-0.34765676714312393,0.1419238385637963,-0.21768969800667676,0.26064830714443604,-0.28612223959753563,-0.48258809806971303,0.02834002771588836,0.15893215530017693,-0.051643785759947936,-0.14290450078781794,-0.20682557742261312,1.0
