,김유정,이상,이효석,현진건,채만식,이광수,김동인,나도향,심훈,최서해,강경애,계용묵,백신애,조명희,이무영
김유정,0.9999999999998358,0.22297506740285886,0.2363881492186767,0.22582945161203988,0.24442239745880096,0.22770583556461907,0.21344832073192102,0.25185484324805274,0.24878937333021656,0.23034393315131527,0.26654386387202594,0.22041363327359398,0.2418192398937546,0.23460017325364543,0.2461977617392155
이상,0.22297506740285886,0.9999999999997417,0.27335838927780226,0.23469748012775873,0.2703956319274064,0.28268040118876614,0.2568107624650097,0.2815710134681587,0.27361455644149363,0.2470541575985987,0.29890708731511556,0.25288056017169086,0.281646945311074,0.26082398707517507,0.27516046601564514
이효석,0.2363881492186767,0.27335838927780226,0.9999999999999581,0.24125770514169673,0.26655051249514233,0.256321346034057,0.25190427668287474,0.27607465824568134,0.2677713417981656,0.25220574991763695,0.29144763270950824,0.25551102285147975,0.27220472101309856,0.2508012582284202,0.2708874285289108
현진건,0.22582945161203988,0.23469748012775873,0.24125770514169673,1.0000000000000258,0.2441100274566522,0.25938535033373133,0.2507133890728077,0.28261499071499685,0.24221740862132193,0.250578775457912,0.27760586137724896,0.2398138243959613,0.2616648180565905,0.2519069862288271,0.23959983890787792
채만식,0.24442239745880096,0.2703956319274064,0.26655051249514233,0.2441100274566522,1.000000000000255,0.29802210913686805,0.2590174861896122,0.280639828099547,0.2924027096979101,0.2466356269268672,0.3030825046842604,0.24347710196406502,0.282987817387477,0.27243476566652924,0.31535068869187305
이광수,0.22770583556461907,0.28268040118876614,0.256321346034057,0.25938535033373133,0.29802210913686805,0.9999999999997612,0.26733745227964656,0.3245182567442322,0.29469182254590665,0.2601444916129761,0.31319236675096607,0.2483171009886607,0.2889761679038897,0.2792557582209868,0.2719574583864165
김동인,0.21344832073192102,0.2568107624650097,0.25190427668287474,0.2507133890728077,0.2590174861896122,0.26733745227964656,0.9999999999999788,0.2904023264611192,0.24403530069098442,0.2612330227818079,0.28981671559741057,0.249561654691492,0.26492465924933967,0.26589535692046157,0.25097229770667806
나도향,0.25185484324805274,0.2815710134681587,0.27607465824568134,0.28261499071499685,0.280639828099547,0.3245182567442322,0.2904023264611192,0.999999999999967,0.29349989869689236,0.29788253621887606,0.3214818699143191,0.2721321932383757,0.3111150736660133,0.29155907484770327,0.27350640718805463
심훈,0.24878937333021656,0.27361455644149363,0.2677713417981656,0.24221740862132193,0.2924027096979101,0.29469182254590665,0.24403530069098442,0.29349989869689236,0.9999999999998467,0.2630306858816353,0.3255037786083882,0.24337472309571795,0.2947842222728659,0.2680811824870974,0.28250434975622435
최서해,0.23034393315131527,0.2470541575985987,0.25220574991763695,0.250578775457912,0.2466356269268672,0.2601444916129761,0.2612330227818079,0.29788253621887606,0.2630306858816353,0.9999999999999408,0.3044333670740049,0.238665959963128,0.27614532275883585,0.2649547316087357,0.24225791757420753
강경애,0.26654386387202594,0.29890708731511556,0.29144763270950824,0.27760586137724896,0.3030825046842604,0.31319236675096607,0.28981671559741057,0.3214818699143191,0.3255037786083882,0.3044333670740049,0.9999999999999696,0.28497614327432436,0.34249456541040996,0.3048204821416389,0.2989323573409594
계용묵,0.22041363327359398,0.25288056017169086,0.25551102285147975,0.2398138243959613,0.24347710196406502,0.2483171009886607,0.249561654691492,0.2721321932383757,0.24337472309571795,0.238665959963128,0.28497614327432436,0.9999999999999987,0.25957615229381426,0.24278873934646422,0.25608442890570504
백신애,0.2418192398937546,0.281646945311074,0.27220472101309856,0.2616648180565905,0.282987817387477,0.2889761679038897,0.26492465924933967,0.3111150736660133,0.2947842222728659,0.27614532275883585,0.34249456541040996,0.25957615229381426,0.9999999999999513,0.28411495962001077,0.28707711356042837
조명희,0.23460017325364543,0.26082398707517507,0.2508012582284202,0.2519069862288271,0.27243476566652924,0.2792557582209868,0.26589535692046157,0.29155907484770327,0.2680811824870974,0.2649547316087357,0.3048204821416389,0.24278873934646422,0.28411495962001077,0.9999999999999578,0.25263361356391567
이무영,0.2461977617392155,0.27516046601564514,0.2708874285289108,0.23959983890787792,0.31535068869187305,0.2719574583864165,0.25097229770667806,0.27350640718805463,0.28250434975622435,0.24225791757420753,0.2989323573409594,0.25608442890570504,0.28707711356042837,0.25263361356391567,0.9999999999999077
