,김유정,이상,이효석,현진건,채만식,이광수,김동인,나도향,심훈,최서해,강경애,계용묵,백신애,조명희,이무영
김유정,1.0000000000000526,0.08609727287043326,0.08348335995474729,0.08034599106871322,0.08908184006831989,0.08785865812310309,0.0756801258772476,0.09173746647345328,0.09072730094063368,0.0850436742607402,0.10118401926489663,0.07928949694648857,0.08884542545328024,0.08709433465239685,0.09350620361866581
이상,0.08609727287043326,1.0000000000001479,0.0996277366332758,0.08741148127119652,0.09620798099068219,0.10437820768296327,0.09461539017123208,0.10597689180636079,0.0948829754328887,0.09301364972615253,0.11621843316974846,0.09715932796662971,0.10624751167960836,0.09954529923675101,0.10133952727809953
이효석,0.08348335995474729,0.0996277366332758,1.000000000000024,0.08270548134282425,0.08788211584572304,0.0927812849875308,0.08766827620355667,0.0984395758072277,0.09038990715864077,0.08716948563364446,0.10606270860925346,0.09020940443299445,0.09836073607607758,0.09071955657401536,0.09591175026266532
현진건,0.08034599106871322,0.08741148127119652,0.08270548134282425,1.0000000000000624,0.08567177291765023,0.10237815273438952,0.08741494310797786,0.10199863131493722,0.08606387282775473,0.08895610689476853,0.10378433365856882,0.08364723515098309,0.09677509965149621,0.09324037468554709,0.08490142531635718
채만식,0.08908184006831989,0.09620798099068219,0.08788211584572304,0.08567177291765023,0.9999999999999196,0.10993938557108472,0.09191188350631736,0.10037467805773324,0.09835664264756946,0.08208379957463027,0.10665900438580758,0.08556780986747771,0.09954370053233123,0.0956716106916626,0.1109037143650335
이광수,0.08785865812310309,0.10437820768296327,0.0927812849875308,0.10237815273438952,0.10993938557108472,1.000000000000043,0.10167100052352285,0.12151463202960304,0.10788146830058483,0.0993424444269445,0.12321971952396699,0.09522839927085994,0.10935317692913402,0.10845095542550724,0.09904392602790678
김동인,0.0756801258772476,0.09461539017123208,0.08766827620355667,0.08741494310797786,0.09191188350631736,0.10167100052352285,0.9999999999999419,0.10737216573016205,0.08458886527594346,0.09410757706617018,0.1131788229001557,0.08655966399906943,0.09587644842135865,0.09857849425262953,0.08863123899476263
나도향,0.09173746647345328,0.10597689180636079,0.0984395758072277,0.10199863131493722,0.10037467805773324,0.12151463202960304,0.10737216573016205,0.9999999999999788,0.10560586026860057,0.11033712056318373,0.12553065722392673,0.1004462269605892,0.1167676562794006,0.11112607908491298,0.09894155609048645
심훈,0.09072730094063368,0.0948829754328887,0.09038990715864077,0.08606387282775473,0.09835664264756946,0.10788146830058483,0.08458886527594346,0.10560586026860057,1.0000000000003295,0.09269856811175631,0.11867609455933185,0.08624830372409643,0.10186700988774858,0.09296244312641355,0.09638429253574494
최서해,0.0850436742607402,0.09301364972615253,0.08716948563364446,0.08895610689476853,0.08208379957463027,0.0993424444269445,0.09410757706617018,0.11033712056318373,0.09269856811175631,0.9999999999999168,0.11863404224102275,0.08600735580220055,0.09920912268468002,0.0971752683426181,0.08473503945035014
강경애,0.10118401926489663,0.11621843316974846,0.10606270860925346,0.10378433365856882,0.10665900438580758,0.12321971952396699,0.1131788229001557,0.12553065722392673,0.11867609455933185,0.11863404224102275,1.0000000000003169,0.1088254924356452,0.1320897821232849,0.11821306228467418,0.11071140049532557
계용묵,0.07928949694648857,0.09715932796662971,0.09020940443299445,0.08364723515098309,0.08556780986747771,0.09522839927085994,0.08655966399906943,0.1004462269605892,0.08624830372409643,0.08600735580220055,0.1088254924356452,0.9999999999999649,0.09427128555636519,0.08930655672950233,0.09419504951756583
백신애,0.08884542545328024,0.10624751167960836,0.09836073607607758,0.09677509965149621,0.09954370053233123,0.10935317692913402,0.09587644842135865,0.1167676562794006,0.10186700988774858,0.09920912268468002,0.1320897821232849,0.09427128555636519,1.000000000000046,0.10434034258476012,0.10257478433058026
조명희,0.08709433465239685,0.09954529923675101,0.09071955657401536,0.09324037468554709,0.0956716106916626,0.10845095542550724,0.09857849425262953,0.11112607908491298,0.09296244312641355,0.0971752683426181,0.11821306228467418,0.08930655672950233,0.10434034258476012,1.0000000000000193,0.09049397121515909
이무영,0.09350620361866581,0.10133952727809953,0.09591175026266532,0.08490142531635718,0.1109037143650335,0.09904392602790678,0.08863123899476263,0.09894155609048645,0.09638429253574494,0.08473503945035014,0.11071140049532557,0.09419504951756583,0.10257478433058026,0.09049397121515909,1.0000000000001066
