,토속생활형,현실묘사형,실험내면형,서정감각형,계몽논설형,사회비판형
김유정,0.728982558852813,-0.2218150037071029,-0.04249769099926656,-0.08798781545945414,0.39360374342029114,-0.07692145250439056
이상,0.1262106721312314,0.02513168516551404,1.0000000000000002,0.14055574615075445,-0.11033778397868038,-0.07060791801330724
이효석,0.16116966971210364,-0.18024841004535921,0.02412337378137324,0.5867083226330495,0.40152417819313574,-0.1383461675548915
현진건,-0.1152360207604382,0.7454226821483426,-0.29007275645606295,0.14012754359983715,0.06548051921012386,0.0392234575996481
채만식,0.09372694978767414,0.05506785142153517,-0.16688360313287676,-0.10430653643368688,0.016089660715549754,0.466416747188963
이광수,0.15635093507403827,0.2023758523587889,-0.01717809498838043,-0.007882306469353987,0.7429077748156991,-0.16389387324160093
김동인,-0.0881328783830348,0.6457433837873263,0.08476055580438312,-0.010832245008791585,-0.1595212841397586,0.26149155536622515
나도향,-0.19088116245502573,0.7764590838716446,0.27566649800478515,0.25297865770468725,0.040234564590385984,-0.18244222662114232
심훈,0.032265825437411653,-0.22996575472923922,-0.14673883017164435,0.2661695479351415,0.7664810119853915,-0.11269876027943321
최서해,-0.0784572236633131,0.20700629339587975,-0.032304895909528994,-0.16844253902235432,-0.34251377767626046,0.6160534756659157
강경애,0.12069479377113274,-0.13043542105944628,0.156930017088065,-0.02024779802827313,-0.006969564886408893,0.5805310214811321
계용묵,-0.13588544553490528,0.1923709490207876,0.12038747702235417,0.6484770582043079,0.03741120769050865,-0.26686619929909894
백신애,-0.14287679218281427,0.30076045473581553,0.09937988527678099,0.5151543659866368,-0.1412633010176206,0.2168113663461749
조명희,-0.07166988624556624,-0.0270475963776445,-0.10380421153637642,-0.01364383234033965,-0.07422061986463212,0.6856436261744097
이무영,0.7654823651372377,-0.05415584148679533,0.2230442495020078,-0.018564386031887623,-0.19122410566706755,0.1071575320484718
