,토속생활형,현실묘사형,실험내면형,서정감각형,계몽논설형,사회비판형
김유정,0.74942482487274,-0.4679714440622158,-0.12106456586033297,-0.1682471432232898,0.3830328058497245,-0.24064715912403628
이상,0.06629973381131715,-0.1715768761603485,1.0,0.06451381394742646,-0.24416194465922256,-0.2610388201938915
이효석,0.11176194558972448,-0.5014626916333859,-0.07313060387372201,0.5573568859159501,0.5231732617972825,-0.4698609418960019
현진건,-0.28595758194996285,0.6871509330434338,-0.4846140518904846,-0.11092182483694335,-0.008889929783511746,0.03238645333475968
채만식,0.028869004778142277,0.004074553870554005,-0.29823441302085546,-0.242501047136168,-0.1680124981737842,0.4046407762882753
이광수,0.08404210177406361,0.10280594228561508,-0.06518248044804797,-0.03959808764698483,0.6157257665063665,-0.47358841365321747
김동인,-0.15248124756576323,0.6645160693682354,-0.009059945078602666,-0.3920478344614658,-0.433965541538358,0.24273406753571597
나도향,-0.4731979894934539,0.7686275253912888,0.08578000038715793,0.2003285237686949,-0.008447402392430723,-0.3897123898617922
심훈,-0.1574462429485455,-0.3777114685233707,-0.2597200999023157,0.2583557168635123,0.7955421362917651,-0.258753533333577
최서해,-0.09519788814598988,0.22464727863233155,-0.16440557816515786,-0.5037127169664,-0.4472258703840234,0.6576743223600454
강경애,0.05005151163123224,-0.22996740175059685,0.19394480337432302,-0.4033557454379708,-0.16354006378152897,0.4413990080010453
계용묵,-0.2647143174821854,0.04211272080491747,0.10190728732029887,0.7936654437575063,0.02810485233801287,-0.5136356379830587
백신애,-0.35875841593375074,0.2348147181912914,0.06894754145362732,0.17864336426312,-0.35606727085921863,0.14587209656843475
조명희,-0.24904544363011943,-0.2230398925777663,-0.19637221772759653,-0.07958788770889354,-0.18956889457851855,0.5773812579191344
이무영,0.7190256101522811,-0.14499377145820094,0.22690575440303556,-0.24658185425093598,-0.5121976339297919,0.06616112080803326
