author,defined_type,nearest_type,nearest_score,defined_type_score,matches_defined_type,top3_types
김유정,토속생활형,토속생활형,0.7777204245153206,0.7777204245153206,True,"토속생활형:0.778, 계몽논설형:0.299, 사회비판형:0.177"
이상,실험내면형,실험내면형,0.9999999999999999,0.9999999999999999,True,"실험내면형:1.000, 현실묘사형:0.340, 사회비판형:0.249"
이효석,서정감각형,서정감각형,0.7271432644879514,0.7271432644879514,True,"서정감각형:0.727, 계몽논설형:0.426, 토속생활형:0.226"
현진건,현실묘사형,현실묘사형,0.7791622752676801,0.7791622752676801,True,"현실묘사형:0.779, 서정감각형:0.389, 계몽논설형:0.267"
채만식,사회비판형,사회비판형,0.5961782830635838,0.5961782830635838,True,"사회비판형:0.596, 계몽논설형:0.442, 토속생활형:0.222"
이광수,계몽논설형,계몽논설형,0.7706084609340824,0.7706084609340824,True,"계몽논설형:0.771, 현실묘사형:0.373, 사회비판형:0.310"
김동인,현실묘사형,현실묘사형,0.704236341676886,0.704236341676886,True,"현실묘사형:0.704, 서정감각형:0.445, 사회비판형:0.416"
나도향,현실묘사형,현실묘사형,0.7961359346881441,0.7961359346881441,True,"현실묘사형:0.796, 실험내면형:0.494, 서정감각형:0.313"
심훈,계몽논설형,계몽논설형,0.7880485594865311,0.7880485594865311,True,"계몽논설형:0.788, 서정감각형:0.385, 토속생활형:0.288"
최서해,사회비판형,사회비판형,0.6065994026080055,0.6065994026080055,True,"사회비판형:0.607, 현실묘사형:0.297, 실험내면형:0.242"
강경애,사회비판형,사회비판형,0.7617401879226867,0.7617401879226867,True,"사회비판형:0.762, 서정감각형:0.302, 계몽논설형:0.244"
계용묵,서정감각형,서정감각형,0.657555213158046,0.657555213158046,True,"서정감각형:0.658, 현실묘사형:0.316, 계몽논설형:0.255"
백신애,서정감각형,서정감각형,0.6990721666171853,0.6990721666171853,True,"서정감각형:0.699, 현실묘사형:0.497, 사회비판형:0.335"
조명희,사회비판형,사회비판형,0.6985269091210019,0.6985269091210019,True,"사회비판형:0.699, 현실묘사형:0.317, 토속생활형:0.288"
이무영,토속생활형,토속생활형,0.8071675261512418,0.8071675261512418,True,"토속생활형:0.807, 사회비판형:0.257, 계몽논설형:0.231"
