author,김유정,이상,이효석,현진건,채만식,이광수,김동인,나도향,심훈,최서해,강경애,계용묵,백신애,조명희,이무영
김유정,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
이상,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
이효석,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
현진건,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0
채만식,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
이광수,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0
김동인,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0
나도향,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
심훈,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
최서해,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0
강경애,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0
계용묵,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
백신애,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0
조명희,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1
이무영,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
