author,rank,term,score,filtered
김유정,1,점순이가,0.017770193071948874,True
김유정,2,지게,0.017585071655881204,True
김유정,3,덕순이는,0.01698916632799919,True
김유정,4,이걸,0.016721274220310955,True
김유정,5,걸,0.015494255906725181,True
김유정,6,만치,0.014813163407917293,True
김유정,7,대뜸,0.01450014026598675,True
김유정,8,적마다,0.014460039511606808,True
김유정,9,것이다.,0.014047243139517931,True
김유정,10,점순이의,0.013876292272269324,True
김유정,11,“그럼,0.013409733834721577,True
김유정,12,이놈의,0.013236275875124302,True
김유정,13,뭘,0.012860408818836253,True
김유정,14,그걸,0.012789489652354671,True
김유정,15,약이,0.012763351527388386,True
김유정,16,안,0.012627870842313088,True
김유정,17,그리고,0.012393618122009896,True
김유정,18,지게 막대기를,0.012001608631122894,True
김유정,19,장인님이,0.011986811825305706,True
김유정,20,못,0.01190003493044031,True
김유정,21,인젠,0.011718353257919832,True
김유정,22,썩,0.011643521745303068,True
김유정,23,하는 것이다.,0.01154139332968896,True
김유정,24,고만,0.01147712354715767,True
김유정,25,모른다.,0.011365987723604129,True
김유정,26,퍽,0.01128202316685315,True
김유정,27,한번,0.01120353439815439,True
김유정,28,제,0.011054152116402734,True
김유정,29,아닌가.,0.0109681572549966,True
김유정,30,이렇게,0.01087305430179746,True
이상,1,않는다.,0.013228969409054856,True
이상,2,없다.,0.012542901974136229,True
이상,3,외에,0.012379462635438132,True
이상,4,나는이,0.012048042039117041,True
이상,5,연이는,0.011396271106908681,True
이상,6,위하여,0.011248438420029422,True
이상,7,내게는,0.011173046506366026,True
이상,8,왜?,0.010826420423972615,True
이상,9,실로,0.01068165352758469,True
이상,10,아무것도,0.010484014406845935,True
이상,11,없다. 그러나,0.01047742193137615,True
이상,12,너무나,0.010443676847972313,True
이상,13,잔다.,0.010442128572692723,True
이상,14,것이다.,0.010384092852529742,True
이상,15,이상,0.010353868545833212,True
이상,16,아니다.,0.010295239488013535,True
이상,17,그들은,0.010189387218251819,True
이상,18,틀림없다.,0.010174586517750498,True
이상,19,없는,0.010063898549442342,True
이상,20,그럼,0.010012610639436294,True
이상,21,내게,0.009959224595650866,True
이상,22,방에는,0.00994083759770334,True
이상,23,이것은,0.009890684674101152,True
이상,24,그리고,0.009767239453635118,True
이상,25,향하여,0.009612885600705912,True
이상,26,세수를,0.009593291226600114,True
이상,27,있다.,0.009545240572453973,True
이상,28,번―---,0.00936333972129762,True
이상,29,최 서방의,0.009315893383571033,True
이상,30,오직,0.00928427857931019,True
이효석,1,까닭에,0.01386491377507362,True
이효석,2,허생원은,0.013439299308211514,True
이효석,3,대체,0.012895485060190882,True
이효석,4,수밖에는,0.0122230153274718,True
이효석,5,어느결엔지,0.011493390833876363,True
이효석,6,속에,0.011467238932213823,True
이효석,7,것이다.,0.01138235040476584,True
이효석,8,없었다.,0.01083527429830962,True
이효석,9,자태가,0.01079001405853098,True
이효석,10,것이었다.,0.010757853611548622,True
이효석,11,어둠,0.010335173993790261,True
이효석,12,거의,0.010233100145673425,True
이효석,13,유우라는,0.01022845976547678,True
이효석,14,수밖에는 없었다.,0.010055674442709845,True
이효석,15,넓은,0.01005424505168633,True
이효석,16,벌써,0.01003622946843723,True
이효석,17,한층,0.00999312037735531,True
이효석,18,금시에,0.00995104742819367,True
이효석,19,동이의,0.00994523757183221,True
이효석,20,없는,0.009667946701502981,True
이효석,21,않으면,0.009660481540013758,True
이효석,22,듯도,0.009655234525285702,True
이효석,23,몇,0.009496756000095589,True
이효석,24,아래에,0.009421802195479655,True
이효석,25,것일까.,0.009385689676559278,True
이효석,26,모르는 결에,0.009148738965363593,True
이효석,27,형태는,0.00907932568851043,True
이효석,28,있었다.,0.009047144368305199,True
이효석,29,동안에,0.009032825649129462,True
이효석,30,한바탕,0.009032183094137548,True
현진건,1,매우,0.015427309675050788,True
현진건,2,아모,0.015115400506096902,True
현진건,3,라고,0.014645622845612317,True
현진건,4,김첨지는,0.013206747169881534,True
현진건,5,이런 말을,0.013038292558131081,True
현진건,6,처녀는,0.013032466634150666,True
현진건,7,그의,0.012635073437868521,True
현진건,8,었다.,0.012509460990425457,True
현진건,9,셋째,0.012214533139280972,True
현진건,10,할머니는,0.012153484727085433,True
현진건,11,"둥,",0.012053684335627526,True
현진건,12,학생은,0.01182317988056418,True
현진건,13,이런,0.01166591546319959,True
현진건,14,연해,0.0114190338342991,True
현진건,15,제,0.011356790151347721,True
현진건,16,하였다.,0.011320131228565237,True
현진건,17,못,0.011258948917265954,True
현진건,18,b,0.011199984310537406,True
현진건,19,나의,0.011158699764205558,True
현진건,20,잠,0.010811526764585362,True
현진건,21,“저를,0.010791797671761914,True
현진건,22,모양으로,0.010719599409318489,True
현진건,23,없었다.,0.010625489285232423,True
현진건,24,있었다.,0.010621890157791624,True
현진건,25,말을,0.010620028875113097,True
현진건,26,중모는,0.010527872656794625,True
현진건,27,김첨지의,0.010439407461286758,True
현진건,28,한동안,0.010267138533753238,True
현진건,29,셋째 처녀는,0.01024222851883686,True
현진건,30,“……”,0.010171822376440084,True
채만식,1,다아,0.016451105272961557,True
채만식,2,미스터,0.01292433377930035,True
채만식,3,죄선,0.011764203993552887,True
채만식,4,시방,0.011711336651504374,True
채만식,5,십만,0.011617896693832574,True
채만식,6,아뭏든,0.010839832856228054,True
채만식,7,게,0.010428635480067991,True
채만식,8,"아니라,",0.010338155306960108,True
채만식,9,p는,0.010313269167361173,True
채만식,10,원,0.010264538084851843,True
채만식,11,것이었었다.,0.010179383730554993,True
채만식,12,돈,0.010035155717987158,True
채만식,13,미스터 방은,0.009936064475394748,True
채만식,14,부자가,0.009669039520618672,True
채만식,15,서울로,0.009441911895148291,True
채만식,16,가령,0.009423544600980494,True
채만식,17,코삐뚤이,0.009264721072970402,True
채만식,18,백주사는,0.009264721072970402,True
채만식,19,도루,0.009175990231725481,True
채만식,20,명색,0.00915397917276346,True
채만식,21,해서,0.009020190043614824,True
채만식,22,돈을,0.009002965913284488,True
채만식,23,그렇지만,0.00891548275173689,True
채만식,24,"""아저씨?“",0.008906997816627554,True
채만식,25,삼복은,0.008862982286762874,True
채만식,26,남의,0.008838363365695235,True
채만식,27,"없고,",0.008788467661840186,True
채만식,28,헌,0.008709227670052624,True
채만식,29,백,0.008653565737123914,True
채만식,30,그런,0.00861523443452294,True
이광수,1,아니하였다.,0.01700190716995118,True
이광수,2,문호의,0.014564253155972802,True
이광수,3,문호는,0.014078947053988562,True
이광수,4,아니하고,0.013553518692391322,True
이광수,5,광호는,0.01280969481813259,True
이광수,6,──,0.012691196181362458,True
이광수,7,광호의,0.012359108534314657,True
이광수,8,하였다.,0.012208827256607095,True
이광수,9,때에,0.012002444578823945,True
이광수,10,혹,0.011804251512953437,True
이광수,11,준원은,0.011638788219828392,True
이광수,12,곁에,0.011582199001133907,True
이광수,13,중에,0.01126703742820152,True
이광수,14,웃는다.,0.011256343717572496,True
이광수,15,난수를,0.01119671914786144,True
이광수,16,모양으로,0.011087986664116128,True
이광수,17,난수는,0.011032213864939779,True
이광수,18,가실은,0.010905501039411932,True
이광수,19,문해는,0.010857732631225752,True
이광수,20,문호가,0.010857732631225752,True
이광수,21,그러고,0.01076988035691697,True
이광수,22,난수의,0.010671986964650566,True
이광수,23,대하여,0.01055598413464183,True
이광수,24,광호를,0.010511880053863096,True
이광수,25,문호를,0.010473421415310456,True
이광수,26,준원의,0.010367791592147579,True
이광수,27,광호가,0.010367791592147579,True
이광수,28,때에는,0.010310476694928988,True
이광수,29,고개를,0.010266846466003775,True
이광수,30,혜수의,0.010260134304859225,True
김동인,1,*,0.021714314952040882,True
김동인,2,그의,0.017567546151444444,True
김동인,3,복녀는,0.0173429986294669,True
김동인,4,아직껏,0.016168756286376373,True
김동인,5,복녀의,0.0156599229440512,True
김동인,6,뒤에,0.015283100489242798,True
김동인,7,거기는,0.01402425830113585,True
김동인,8,때때로,0.013885426628085538,True
김동인,9,왕서방의,0.013708949445661782,True
김동인,10,왕서방은,0.013271600538048154,True
김동인,11,칠성문,0.013271600538048154,True
김동인,12,여의,0.01277953761049612,True
김동인,13,'삵'의,0.01277953761049612,True
김동인,14,수가 없었다.,0.01261842865261442,True
김동인,15,여는,0.012604354269768428,True
김동인,16,있었다.,0.012579709815160533,True
김동인,17,하였다.,0.012275015622043714,True
김동인,18,만약,0.011956479963238726,True
김동인,19,송,0.011944943793251254,True
김동인,20,없었다.,0.011793089802266026,True
김동인,21,수가,0.011719579830832853,True
김동인,22,"“자,",0.011611909724928027,True
김동인,23,칠성문 밖,0.011588524852632455,True
김동인,24,차차,0.011550039867753166,True
김동인,25,뒤에는,0.011467983238707118,True
김동인,26,곧,0.011448135723010879,True
김동인,27,"때에,",0.011433497929641679,True
김동인,28,이르렀다.,0.011267899445260313,True
김동인,29,이리하여,0.011243014612009867,True
김동인,30,가운데서,0.011165596186405512,True
나도향,1,언제든지,0.013622853587551793,True
나도향,2,자기의,0.013332479803272186,True
나도향,3,또는,0.013291145283621582,True
나도향,4,나의,0.012963595801509246,True
나도향,5,알지,0.012835082440149932,True
나도향,6,자기,0.01279661070207124,True
나도향,7,그의,0.01257316487593833,True
나도향,8,자!,0.01235712284862522,True
나도향,9,것보다도,0.012228539288961277,True
나도향,10,계집의,0.01211782127367974,True
나도향,11,어떠한,0.011897241827409932,True
나도향,12,안협집은,0.011678495707123506,True
나도향,13,마음은,0.011660025314529539,True
나도향,14,방원은,0.011592462887775025,True
