author,rank,term,score,filtered
김유정,1,점순이가,0.017770193071948874,False
김유정,2,지게,0.017585071655881204,False
김유정,3,덕순이는,0.01698916632799919,False
김유정,4,이걸,0.016721274220310955,False
김유정,5,걸,0.015494255906725181,False
김유정,6,만치,0.014813163407917293,False
김유정,7,대뜸,0.01450014026598675,False
김유정,8,적마다,0.014460039511606808,False
김유정,9,하고,0.01430739824204906,False
김유정,10,것이다.,0.014047243139517931,False
김유정,11,점순이의,0.013876292272269324,False
김유정,12,“그럼,0.013409733834721577,False
김유정,13,이놈의,0.013236275875124302,False
김유정,14,뭘,0.012860408818836253,False
김유정,15,그걸,0.012789489652354671,False
김유정,16,약이,0.012763351527388386,False
김유정,17,안,0.012627870842313088,False
김유정,18,그리고,0.012393618122009896,False
김유정,19,지게 막대기를,0.012001608631122894,False
김유정,20,장인님이,0.011986811825305706,False
김유정,21,못,0.01190003493044031,False
김유정,22,인젠,0.011718353257919832,False
김유정,23,썩,0.011643521745303068,False
김유정,24,하는 것이다.,0.01154139332968896,False
김유정,25,고만,0.01147712354715767,False
김유정,26,모른다.,0.011365987723604129,False
김유정,27,퍽,0.01128202316685315,False
김유정,28,한번,0.01120353439815439,False
김유정,29,제,0.011054152116402734,False
김유정,30,아닌가.,0.0109681572549966,False
이상,1,나는,0.015791133245031078,False
이상,2,않는다.,0.013228969409054856,False
이상,3,없다.,0.012542901974136229,False
이상,4,그러나 나는,0.012534536233519725,False
이상,5,외에,0.012379462635438132,False
이상,6,나는이,0.012048042039117041,False
이상,7,나를,0.011576943258777776,False
이상,8,연이는,0.011396271106908681,False
이상,9,위하여,0.011248438420029422,False
이상,10,내게는,0.011173046506366026,False
이상,11,것이다. 나는,0.010943237904088486,False
이상,12,왜?,0.010826420423972615,False
이상,13,실로,0.01068165352758469,False
이상,14,참,0.010671200945151348,False
이상,15,아무것도,0.010484014406845935,False
이상,16,없다. 그러나,0.01047742193137615,False
이상,17,너무나,0.010443676847972313,False
이상,18,잔다.,0.010442128572692723,False
이상,19,것이다.,0.010384092852529742,False
이상,20,이상,0.010353868545833212,False
이상,21,나는 그,0.010329083294648824,False
이상,22,아니다.,0.010295239488013535,False
이상,23,이,0.010284091620832034,False
이상,24,그들은,0.010189387218251819,False
이상,25,틀림없다.,0.010174586517750498,False
이상,26,내가,0.010068163123073461,False
이상,27,없는,0.010063898549442342,False
이상,28,나는 내,0.010057784502445828,False
이상,29,그럼,0.010012610639436294,False
이상,30,없다. 나는,0.009971993348022325,False
이효석,1,까닭에,0.01386491377507362,False
이효석,2,허생원은,0.013439299308211514,False
이효석,3,대체,0.012895485060190882,False
이효석,4,수밖에는,0.0122230153274718,False
이효석,5,어느결엔지,0.011493390833876363,False
이효석,6,속에,0.011467238932213823,False
이효석,7,것이다.,0.01138235040476584,False
이효석,8,없었다.,0.01083527429830962,False
이효석,9,자태가,0.01079001405853098,False
이효석,10,것이었다.,0.010757853611548622,False
이효석,11,어둠,0.010335173993790261,False
이효석,12,거의,0.010233100145673425,False
이효석,13,유우라는,0.01022845976547678,False
이효석,14,수밖에는 없었다.,0.010055674442709845,False
이효석,15,넓은,0.01005424505168633,False
이효석,16,벌써,0.01003622946843723,False
